Account_name,Score,Title,Location,Date,Product,Purchase_Status,Review_content,Like
Amazon Customer,5.0 out of 5 stars,KILLS THE CROSSWAVE,the United States,30-Nov-20,Color: Floor One S3,Verified Purchase,"I purchased the Tineco S3 at the same time as a Bissell Crosswave Pro so that I would not ever wonder if I purchased the wrong one.  The bissell was sent back pretty immediately.  This is for hard flooring only and the crosswave is supposed to be able to switch back and forth between hard flooring and carpet.The dirt left behind with the crosswave called it for me.  I don't care if it can do a ""decent job"" on two types of flooring.  I would rather own two units that do an immaculate job on their specified flooring.  I like my  house clean!!! not semi clean!The suction on this with it being cordless is absolutely impressive.  The roller is so compact it is perfect for hard flooring.My only complaints are - battery life.  But its a fair trade for it being cordless!  Second complaint is the smaller water tank,  BUT! again it alerts you to clean it out so that it can continue to clean with full power/suction.  It really is an all around well thought out product.The cherry on top is the Tineco is aesthetically pleasing.  So if you do not have somewhere to store it and it has to be left out in the open it's not a giant purple or green eye sore.",87
Lisa B.,5.0 out of 5 stars,Love it!,the United States,19-Jun-20,Color: Ifloor3,Verified Purchase,"You know you're an adult when you get excited about getting a vacuum in the mail! I spent weeks online trying to find one that would be perfect for my floors. I live in a house built in the 1940's and the hardwood is the original flooring without any sealant on it. So, I was hesitant about buying a wet/dry vacuum for this reason. I took the plunge and bought this one and I am so glad I did! To test it I only did a small patch on my floor. Oh my gosh!!!! I don't think those floors have ever been clean before I moved in! I had a Swif**r but I didn't feel it was actually cleaning. Now I know it wasn't because that small patch I went over looks like a different floor!! I am waiting until those little parasites that live with me go away for the summer. Then, it is just me and my vacuum making the living room a better place. A little music and some wine...then hello clean floors! Well worth the price!",94
Gloria ,5.0 out of 5 stars,Easy to use,the United States,7-Sep-20,Color: Ifloor3,Verified Purchase,I've used this vacuum cleaner for over 2 weeks. The suction power is strong enough to clean the small pieces on the floor. The floor is a little bit damp after using the cleaner but it will dry in 1 to 2 minutes. It doesn't leave streaks and also removes the stains on the floor pretty easy. The vacuum cleaner is light weight and one good thing is that it moves forward so it will save you some energy. The battery can last about 30 minutes and you might need to empty the dirty water tank once in the middle. It will also remind you to run the self cleaning function after each use to keep it clean. Very easy to install and remove the water tanks and the roller. It's smaller than what I thought so it doesn't take a lot of space. Overall I'm satisfied with my purchase and it saves a lot of work on cleaning the hard floor.,90
Heather L. Graham,5.0 out of 5 stars,This thing is amazing,the United States,18-Jan-21,Color: Floor One S3,Verified Purchase,"I have 3 dogs, 3 kids and lots of hardwood floors.  I can't get over how well the TINECO cleans the floors & vacuums all the dog hair up.  It does not leave my walnut floors overly wet and it really sucks up the dirt (see my picture).  It is super easy to clean and a full charge will cover all my hard surface areas.  I am so happy I spent the money on this.  It has made mopping / vacuuming so much easier and less time consuming.",81
Kagan whitten,5.0 out of 5 stars,"If you have wood floors, this is a MUST",the United States,16-Feb-21,Color: Ifloor3,Verified Purchase,"No matter how well I would dust/vacuum our wooden floors there was always that line of debris when mopping/swiffering etc afterwards. This has easily cut the cleaning of our floors in half, more like 70% honestly. It practically moves itself with just a little push. Always using clean water so you're not using the dirty water to clean your floors. It's not the best at getting close to the floorboards or corners of the room but the little extra time I take to clean those manually is nothing compared to the overall saving of time. The self-cleaning mode is also incredible. Run, do not walk to purchase this product. Especially if you have wood flooring.",78
Angela Pogue,4.0 out of 5 stars,Well worth the wait !,the United States,20-Feb-21,Color: Ifloor3,Verified Purchase,Received just in time to keep my floors clean with the recent snow storms.  Had waited a good while for it to be in stock ...well worth the wait!  No dirty mop and mop water!Before and after pictures.,80
Luda,5.0 out of 5 stars,Great lightweight mop cleaner,the United States,11-Feb-21,Color: Ifloor3,Verified Purchase,"Great great mop cleaner. It’s very easy to use. Light weight and very easy to clean with. Best part is how everything comes apart to clean it thoroughly and everything goes back in right places without any problems. The only things I’d say i don’t like about it, even thou i love it overall, is that i have to fill water and clean dirty water three times to mop my whole floor. However i don’t often mop the entire floor in one setting, so it not a deal breaker to me. I’d prefer smaller mop anyway and fill it more times then not having space for giant one.Also i love that when it’s charged it’ll stop charging even if it’s still plugged in. I was concerned about that when it says it takes 6-8 hours to charge. That I’d leave it on charge to long. But it stops charging.",74
AJ,5.0 out of 5 stars,A must buy,the United States,11-Feb-21,Color: Ifloor3,Verified Purchase,"One of my best purchases ever!  This cuts my cleaning time in half! I do have some sticky spots every now and then that don’t come up 100%, but not often that’s why I couldn’t give it a full five stars.  Also the container areas for the sucking up dirty water and clean water containers could be bigger, I typically have to dump the dirty water and refill the water/cleaning solution 3 times just to do my downstairs area.  Long battery life, works well, no streaking, picks up all the pet hair.  I wails 100% recommend this product!",74
Amazon Customer,1.0 out of 5 stars,Don’t waste your money!,the United States,13-May-20,Color: Ifloor3,Verified Purchase,"Update: The cleaner was replaced by the company, and the replacement broke within 2 weeks of delivery. Demanding refund now.Spent $300 on this machine, havent even had a month and already we're having to contact the manufacturer. Hopefully Tineco will make this right. I'll change my review if they do. But for now, highly disappointed in this machine.",74
Sjcs24,1.0 out of 5 stars,Gotta give you the dirt on this vacuum!,the United States,21-Jan-21,Color: Ifloor3,Verified Purchase,"I was super excited to get this on sale during Prime days.  I have had many months to use it and therefore have experienced it enough to give my honest review of it.  I purchased this because we own a german shepherd and anyone who has a dog that sheds as much will understand why I wanted this all-in-one vacuum and mop wonder.  I follow all directions and use only the cleanser that was included with the product fyi. Even though we groom our dog and I do my floors every single day, this still would clog so quickly.  Everything from the dirty collection cup down to where the roller brush is.  After using it only 5 minutes it would want to ""self-clean"".  Which means it would have to be put on the charger again, and then I'd have to constantly empty and fill the dirty and clean cups.  To the point to where I ended up buying another vacuum (Shark brand) just to vacuum the hair before I even used the Tineco.  Which kind of defeats the purpose of having it.  Now, if it actually mopped well enough I would overlook this and happily keep using it.  However, the gaps it leaves along the sides and in the front against a wall, etc. knocks out the fully clean floors look for me.  We mostly have hard wood floors and you can see any amount of dust or hair left. So needless to say, I am not happy with this purchase nor would I recommend it.  Not even to houses without pets on account of the amount that's left around all edges.",58
Samantha Collins,5.0 out of 5 stars,Best purchase I have made in awhile,the United States,8-Apr-20,Color: Ifloor3,Verified Purchase,Just buy it. It’s so worth it. We have a large room that is hardwood. So sweeping and mopping takes forever this gadget saves us so much time. And if you have little to clean up after like us this is amazing. We can easily clean up after every meal. It’s fun to use as well. My husband is more than happy to clean the floor for me now.,89
J. Crawford,3.0 out of 5 stars,6 Month Review -  The Good & Bad.,the United States,31-Aug-21,Color: Floor One S3,Verified Purchase,"This was not an easy sale. I have had my fair share of gimmicks and come to the general conclusion that there is no fix for a quality vacuum and a solid cotton-head mop and bucket. But both of those things require the effort to use them. Which then means you don't use them as much as you'd like.And because of that my wife and I both fell in love with Tineco. For spot jobs it was amazing. We have pets and pets make messes. And if you have tile and hardwood flooring, this is machine is amazing. It's almost perfect. And frankly this is where I would list the few gripes I have, but they are so minor and nitpicky, it's not worth the effort.However, I'm writing this review today because we just sent ours back to get repaired. And as much as I hate that, I'm hoping they will take care of us and in a timely manner. We use the Tineco just about every day. Not for long stretches, but certainly a few minutes. And while it's easy to get upset about it breaking, we now have an opportunity to see how they stand behind their product.So, hit the ""Useful"" button to follow along. I'll let you know how everything works out in a few weeks when we get our repaired unit back.We really miss it.",45
Chris,5.0 out of 5 stars,Highly recommend!!!,the United States,4-May-20,Color: Ifloor3,Verified Purchase,"Ok, I want to write a commercial for Tineco! I am in LOVE with this product! I can't believe I lived without one. Everyone I showed it to, has bought one. I'm obsessed. There may be a few flaws that to me are minor, and don't change my rating.",75
Jan ,5.0 out of 5 stars,No Dust !!!,the United States,23-Apr-20,Color: Ifloor3,Verified Purchase,I appreciate that there is absolutely no dust. I have allergies and usually have a reaction when I clean house - Mostly from Vacuuming.  This is great for all my hard floors. single step cleaning. I don't have to sweep or vacuum first. The unit is self cleaning - which is fantastic. I'm very happy with the machine and the results.,76
Thien D Tien,2.0 out of 5 stars,Cost is hight but performances are just fine.,the United States,17-Aug-20,Color: Floor One S3,Verified Purchase,"Been using this vacuumed for couple of months now. The vacuum does a decent job overall, however considering its price I wouldn't buy it again based on several defects that don't justify the price.First of all, due to its design the brush can't reach the edges but actually leaves a space of 1-2 inches of untouched surface (doesn't suck nor clean the area). The brush also seems pretty thin - I would have used a thicker brush that helps with stronger cleaning power.Also, many drops of water/liquid are left by the vacuum on the surface (I use it mainly on hardwood floor) and these won't dry in couple of minutes unless with dry cloth or similar.The vacuum also spills water from the dirty water container during the auto cleaning while stationig on its charging base.The suction power isn't that strong as advertised. I need in fact to use my other vacuum for a complete cleaning.Noise is decent and lower than other vacuum on the market.Light weight and battery are decent.",48
Vera B.,5.0 out of 5 stars,Amazing!!!,the United States,16-Apr-20,Color: Ifloor3,Verified Purchase,"This is an amazing vacuum, that takes half the time to wash floors!!!",56
Christie Perry,1.0 out of 5 stars,Pathetic product.  Never buy tineco again if this is the quality of their products.,the United States,19-Feb-21,Color: Floor One S3,Verified Purchase,"I have followed your instructions to a tee!  I clean religiously after use.  I leave apart to dry properly after use.  Then when I go to use it next  time it will run for about 3 seconds and tells me to clean dirty water tank or debris channel.  I've just started cleaning so obviously the dwt is empty and debris channel is clean.  I keep shutting off and returning hundreds of times.  No luck!This problem started within 2 months of owning this product and has just continued to get worse to now where the mop is completely unusable.And this isn't n due to over use or neglect.  The floors were not super dirty or overloaded with debris.  This is ridiculous!So this problem makes your mop/ vacuum COMPLETELY useless.  I splurged for the first time on a cleaning product, thinking I would really have a nice product.  All I have is a heaping pile of crap!!!!!I would give zero stars if I could!  Pathetic!!!",44
Brittani Bailey,4.0 out of 5 stars,Best Valentines Gift Ever,the United States,19-Feb-21,Color: Ifloor3,,"I would give this product 5 stars, but it runs for a few minutes and then it flashes for a self clean in the middle of the cleanup. So, I have to re-dock it and let it self cleanse, empty out the container, re-fill it and finish.However, it does a great job with quick cleanups, especially behind my toddler.Powerful suction- it glides itself, you just guide it. I used to use a steam mop and I immediately threw it to the curb after I ran my tineco over it. It picked up so much dirt on my hardwood floors, it was disgusting. My floors feel and look better, as if I just moved in.Quick dry.I did a FB live and had so many people asking about it.All in all, a great investment! My husband did a great job for my valentines gift this year",74
Esther,2.0 out of 5 stars,The idea of it is wonderful but...,the United States,26-Apr-20,Color: Floor One S3,Verified Purchase,"The idea of it is wonderful but.... if you want to go close to the wall to vacuum some dirt, dust, water or anything u can think of, the vacuum wont pick it up. It can only vacuum and wash 1-1 1/2 inch away from the wall/baseboards ( u name it). U have to take a broom or a regular vacuum to clean very close to the wall because this vacuum wont do it. Another thing that i would of liked to be different: when you push the vacuum forward you will have the wheels marks on your floors. Another one: you cannot go under couch or tables with it, if you tilt it too much the brush will come up too high and wont touch the floors. For the money you pay for it you expect at least to clean all the way to the wall and not to be forced to redo the job with the broom. The dirty water tank could be bigger, it fiLs up too quickly.",47
John M.,1.0 out of 5 stars,Stay away- Other reviews do not make sense,the United States,27-Apr-20,Color: Floor One S3,Verified Purchase,"Updated; The manufactor and seller should offer a refund and free upgrade when the next version comes out.  Stopped working after a month due to lack of suction, and the electronic voice goes off every 5 minutes regardless of whether the tank is wet or dry.  Basically, very poor suction, not as advertised in the least bit.  Very bad product and borderline scam of a tool that is way over-priced and not at all what was promised.  I should have went with one of the Bissells.I was very critical to spend money on this, but the reason I splurged on the newer model was due to the 35-40 minute battery life.  The machine also is very small.  Do not let that betray you when you are choosing between that and the Bissell.  Quality wise I think this item is a bit higher in terms of parts, however, seeing as how I only had a Bissell vacuum that broke down, I wouldn't say I really can compare it to the Crosswave Max.  With that being said it did the job and I did have to change the clean water tank between 2-3x before I was done- but that is just how it works.  Solid, fluid, and easy to manage, I also found it worked decent on the area rugs I have after about 2 passes.  If you have a big house, I would go with a Bissell or other mop vacuum, but I am happy with this purchase, because it takes 1/3 of the time to vacuum and mop and that is why it was made.",44
Brooke,5.0 out of 5 stars,Best purchase I’ve made all year. Would give more stars if I could,the United States,2-Oct-20,Color: Floor One S3,Verified Purchase,I love love love this product. I had purchased a different vacuum/mop machine and sent it back immediately to get this one! I have 5 cats and an Australian Shepherd. The shedding is constant but this machine keeps up! Because it’s cordless and so easy to clean I literally use it every morning before letting my 9 month old daughter crawl around so she’s not getting dirty or germy. Also the battery life had me a little concerned before buying but I do my whole 1600 sq ft home and still have battery left when I’m done. I couldn’t be more happy.,38
kathy,1.0 out of 5 stars,Will not be ordering a replacement,the United States,19-Jan-21,Color: Floor One S3,Verified Purchase,I have returned mine due till the battery no longer charging after two weeks and my daughter n law also had to send hers back due to it not working.,33
Megan Beckett,1.0 out of 5 stars,Good until it can’t charge in just a month!,the United States,23-Sep-20,Color: Floor One S3,Verified Purchase,After only one month it wasn’t connecting to charge or clean itself. We looked at the connection points and seen this 🤬,35
Baylie,1.0 out of 5 stars,Isn’t working 2 months later. Terrible customer service.,the United States,27-Dec-20,Color: Floor One S3,Verified Purchase,Broke after one month of use. Just says call customer service but nobody will answer. Really frustrating. Wish I would of went with the crosswave.,34
Aimer L'infini,5.0 out of 5 stars,Amazing vacuum that has cut my cleaning routine down by more than half,the United States,27-Jul-20,Color: Floor One S3,Verified Purchase,"Let me start by saying how AMAZING this smart vacuum really is. I was skeptical, how can a vacuum keep dirt, clean water, and dirty water separate? Whoever designed this knew exactly what they were doing in that department because nothing ever mixes. I can go from a dirt spot and then mop it immediately.Battery life is decent. I usually need to recharge tho because my entire house is hardwood so this would be inevitable with any battery I feel. I've not had one of these in the past to compare it to, but it pleases me with how long I can keep it running.My floors are left streak free and looking absolutely gorgeous and it's done with very little effort from me. The vacuum is lightweight and cordless so taking it from upstairs to downstairs is very simple. There's a docking station that keeps everything stored nicely while charging your vacuum at the same time. My most favorite part is that this is self cleaning. Aside from emptying tanks I don't have to take it apart to clean the inside tubes or roller because I push a button and the vacuum does it for me!This has saved me so much time. My routine before was to sweep the floors with a broom then go over them with a vacuum, after that I would mop with cleaner, then I'd go through and mop with clean water, then last but not least I'd apply a floor solution to keep my floors shiny and beautiful. This was something that used to take me several hours to complete the entire house, now I'm done in a quarter of that time because I've been able to eliminate multiple steps and combine them all into one with this gem of a vacuum. One small con is the size of the dirty water tank, I have to empty it a few times during use, and fill up the clean water, but for as portable as this is it's really not that big of a deal, more of a preference. If you're considering this I would definitely recommend trying it out, it's been a life saver for me!",104
pretty picky,3.0 out of 5 stars,Measure your wants vs. your needs first!!,the United States,1-May-21,Color: Floor One S3,Verified Purchase,"This is a great little, convenient unit.  However, I don’t feel it’s worth the price I paid.  It’s great that it talks to me and tells me when the tanks are empty or full because I get distracted when I’m cleaning and don’t always notice it, but do I really need to track my “cleaning habits” on my iPhone?  The answer is no.  Another reason I wish I had bought “the other brand”, is that this gadget DOES NOT clean close to the walls.  It leaves about a 2” gap of uncleaned, unmopped space along all of the walls.  If you think this is going to take the place of your swiffer vac, or your regular mopping, deep cleaning chore, you’re wrong.  This is no “Rosie Robot”.  At best, it’s fantastic for spills and a light “swish” before company comes. Also, don’t be fooled by the “self cleaning” feature. It does a pretty good job of rinsing off the roller, but you still have to take all of the removable parts off and  rinse them.  Finally, do not expect this cleaner to just tuck away in a closet or corner. When it’s on the base/charger, it leans awkwardly forward and not snug against the wall. In the picture, the top of the handle is about 15 inches off my wall.",21
