Account_name,Score,Title,Location,Date,Product,Purchase_Status,Review_content,Like
M. Gondek,3.0 out of 5 stars,Handy for quick-ish cleanings,the United States,27-Jul-16,CrossWave,,"), which has spoiled me with its excellent attachments, headlight, and lift-away handle that lets me get under everything in my house. This vacuum has none of that, so it's a ""quick-fix"" cleaner, at best. If I want to do a more thorough job, I'll have to pull out the Shark and follow-up with mopping with something else (maybe this, maybe a mop).Overall, I'd love to see Bissell improve this cleaner enough to mean I really don't need a separate vacuum. But for now, it's just a handy tool for a quick-ish cleaning.Edit to add:I've been using this regularly for a while now, and have three observations:1. I only use it for washing the floors. I still pull out a regular vacuum for the area rugs, and to use the attachments for more thorough cleaning because of this unit's limitations.2. I've also noticed that the filter and brush take 2-3 days to dry, even in my very arid climate. So plan to leave this disassembled for at least that long, or you'll get a nasty, musty smell from it when you use it.3. You also can't clean the floors right up the edge, leaving a 3/4"" unwashed edge around the floors. I'll probably want to pull out the Bona mop from time to time to get right up to the wall. If you're sucking up a spill, this might be more of an issue.","2,699"
honest,1.0 out of 5 stars,I absolutely loved this product until the motor burned out and now ...,the United States,31-Jul-17,CrossWave,Verified Purchase,"I absolutely loved this product until the motor burned out and now doesn't work.  I am waiting to hear back from Bissell will post the resolution, but right now after only 3 months and it is broke not real happy.",204
Amberia Pankonien,5.0 out of 5 stars,Life [Clean] Changer,the United States,16-Apr-19,CrossWave,Verified Purchase,"I love this machine. Let me repeat, I LOVE THIS MACHINE!!!! I bought mine a little under a year ago and have used it almost weekly. It cleans my wood-laminate floors WONDERFULLY.GET THIS: you’re sweeping AND mopping at the same time. Who wants to sweep, and then go back over the same areas with the mop!?GET THIS: it sucks up all the icky. I hate when I sweep and just push dust and fur around to find it later in the wetness left behind by the mop. That doesn’t happen with the crosswave, it gets sucked up. All of it. My floors have never been this clean.I find it best to use way less of the cleaning solution and more water. What!? I do use Bissell’s multi surface cleaning product, but it lasts forever because I use like 1/4 of the suggested measurement and it makes my floors perfectly clean (no streaks) and still smells great!This is my FAVORITE cleaning tool. Yes, you have to take all the parts out and wash them down, wipe down in the hoses and the bottom of the machine once you’re done, but it saves so much more time than that takes. And my floors are cleaner for it. It was so frustrating to spend so much time sweeping then mopping and then cleaning up from those, just to end up with yuckiness still on my floors after all that effort.OH, and my area rug gets vacuumed and shampooed every time I run the cross wave because it has an area rug setting. Mind Blown yet? (There is a caveat here, my area rug is very low pile, not sure how it would do on a high pile rug).So, basically, this thing changed my life. My daughter eats way less dirt when she eats something off the floor and I have way less stuff getting stuck to my feet. I’m incredibly happy :D",74
Chez,3.0 out of 5 stars,Better deal on Bissell webpage,the United States,1-Feb-18,CrossWave,Verified Purchase,"I JUST found this on the Bissell webpage for same amount but you get all the extras with it.Just a heads up for those who are interested in buying it. Why pay $$$, for the extras that come free on the manufacturer page.Now, the product itself is great. I just moped the day it came and decided to use it anyway. It definitely cleaned better. My water was diry. It pulls out all the hair that I didn't see in my wood floor cracks. I was pretty shocked. I would definitely recommend.",105
Leong Ming Jun,1.0 out of 5 stars,Motor was smoking on the first day of use!!!,the United States,21-Jul-18,CrossWave,Verified Purchase,"I've just bought the machine from Amazon. When I first started up the machine and priming the solution, the machine stops working after 5 seconds. I removed the plug from the socket and tried it again, same thing happens. I left the machine aside while searching for troubleshooting info, suddenly the machine was dispensing fluid on its own and the motor started smoking.I received another replacement unit within the week. Guess what? It started off okay for 5 mins. Next day, when I used it again, there was a loud screeching noise and it exploded in a plume of black smoke. As you can see the photos, there was soot and shredded metal within the cavity of the dirty water tank.In addition, the vacuum is VERY loud. It's high pitch noise estimating at 70 decibels!Very very disappointed with Bissell to sell a product without quality checks and testing.",65
MAS,5.0 out of 5 stars,Do not hesitate to buy this!,the United States,24-Jun-17,CrossWave,Verified Purchase,"I feel a bit funny getting so excited about a floor cleaner— yet it, in under 24 hrs it has become the most prized tool in my arsenal. Ok, here's the deal.I have tile (which means grout, unsealed grout, my biggest cleaning nemesis and OCD antagonizer), hardwood and area rugs in the living areas and berber in the bedrooms. I also have an incontinent dog with lots of choices to eliminate on. For some reason I lucked out, in a molly maid sort of way.  His incontinence is generally active on the tile, which to me is the best of all three in terms of hard surfaces, absorption rate and difficulty of cleaning.  But it also meant scrubbing tiles and rivers of pee flowing in the rough and uneven grout lines. Twice a day, tons of wasted paper towels and tile cleaner and solution to remove the dog urine as I scrub with sore knees and aching back.Packaging was very nondescript. It almost looked like a run-of-the-mill shipping box, and inside was the product. No flashy, full-color glossy box. No excessive packaging, enough to keep it safe. It took me five minutes to unbox, assemble and get to work. Very positive benefit. It is lightweight yet powerful. Surprisingly.  It cleaned the tiles and grout in one minute, the dog stain (that I purposely left– yuck) was gone in under a minute. It would take me at least 15 to 20 minutes to 'manually' clean the dog urine.  And it actually was able to scrub some of the deeper grout lines from a poor tile installation.  That surprised me quite honestly.It's a simple, yet highly effective hard floor cleaner.  It seems sturdy, yet is compact and light, and it comes with its own plastic tray to sit in with an attachment where the roller can also air out to dry.  The cord is very long so it cuts down on stopping, changing to a different outlet, restarting.  I do find it a bit on the pricey side, I think it should be priced at 199, however I'll pay the extra 50, 60 whatever bucks to take away my most hated household chore. We'll see how it holds up, given I will be using it every day, probably twice a day. I'm glad to see you can order replacement rollers.This is easily one of the best floor cleaning products I have purchased in the past 20 years.  Sorry for the somewhat awkward photos, I did want to capture that the buttons on the handle light up, and when you are triggering the solution, the main floor unit also lights up which is nice touch.I no longer get angry with my puppy. I never should have, but when you're on your way out the door to work, late, in corporate blues and have to stop for 20 minutes and clean dog pee, well, now it will only take me one minute without touching any dirty rags, sponges, wasteful paper towels. That's worth it's weight in gold.Oh – another great benefit is that you do not have to sweep your floors beforehand!  No more double cleaning. It both sweeps and scrubs/cleans.I admit I was skeptical and very hesitant to buy any more floor cleaners. I tried steam, the good old manual method, different types of floor cleaners,  grout scrubbers, different types of household chemicals to remove the urine stain and odor that in the end were too much effort, expensive with very little return on investment.",221
Amazon Customer,1.0 out of 5 stars,Need replacement!,the United States,6-Dec-17,CrossWave,Verified Purchase,I purchased this 10/27/17 and already doesn't work. The solution quit pumping into the brush area. I clean both tanks and brush area after cleaning and it still stopped working,88
Amazon Customer,1.0 out of 5 stars,One Star,the United States,15-Dec-17,CrossWave,Verified Purchase,Machine broke after 7 months. When I sent it to the McAllen TX facility. I did not hear from them.,93
Mike H.,1.0 out of 5 stars,Really Bissell??? Lacking customer service for a bad machine!,the United States,21-Jul-19,CrossWave,Verified Purchase,"I’m deeply disappointed in these machines and bissells lack of customer service. As you can see I’ve spent quite a bit of money on these machines. I do love the way this machine performs and helps me get through my day in a very timely manner. Saves me so much time cleaning. However, there are some severe design flaws that need to me fixed or bissell needs to step up their customer support. Minus the last crosswave in the video every single one of my crosswaves has failed in the same way! The plastic bearing that powers the brush fails and fails rather quickly. Bissell DOES NOT make a replacement for this part. So, this leaves you $350 machine a piece of junk. All of the machines pictured have failed with in the last three years. The first one was ordered around Christmas time of 2016. Same issue. That’s when we found out Bissell doesn’t make a replacement part. Something needs to give or be resolved because it seems as though this is a very common issue. I was recently in so many words told by Customer service that I could take it to my local repair man and Bissell May cover the cost of the machine could be fixed. I calmly explained that I’ve had this same issue with the last 4 machines and we knew what had failed and there is no fix. In so many worlds I was told I was SOL. Not cool Bissell not cool! This is not how you keep customers...",37
J. Muench,5.0 out of 5 stars,Wow my floors have texture to them!!,the United States,15-Apr-19,CrossWave,Verified Purchase,"I have just completed cleaning ALL our LVP (luxury vinyl plank) flooring in the entire house.  This was a multi-tank process, multi-day clean-a-thon as we recently moved into a new-build house.  I could just not see myself on hands and knees washing the floors, or swabbing dirty water around with a mop and bucket; I have thrown my Swiffer WetJet to the curb because it just moved dirt around too (I may have written a pretty hateful review of it btw).  I got myself the Crosswave for my birthday splurge.  Sad I know.  No kids, no pets (maybe someday but not now); we have visiting service dogs though.Here's what I can tell you after using the Crosswave a half a dozen times. on textured wood-grain-look plank vinyl and slate-textured vinyl tiles.  O.  M.  G.  We actually see the texture of the vinyl flooring now!!!  We had this floor installed, and every sub imaginable walked on it or the cardboard protector sections with muddy boots.  The floor was given a cursory cleaning before we moved in with a shop vac, and while it didn't *look* dirty,  it didn't look very clean either.First pass with the Crosswave was a muddy-mucky mess of water in the dirty water tank.  I have to admit some OCD tendencies prompted me to do a few overlapping passes using multiple tanks of water and essentially Crosswaved the entire 1st floor twice in 2 days.  As I cleaned each section, we noticed that the ""wood look"" vinyl actually had more of a textured grain than we thought!  Wow, and it actually looks clean now, with brighter colors!!  Same thing with the bathrooms with the slate-look vinyl--wow! texture!  And it's more colorful than we thought!!I was afraid that this would be one of those ""EWWW I have too much to clean!"" appliances and I would use it a couple times, take the thing all apart, have to scrub and scrub all the parts I just took apart, and it would end up staying in pieces here, there, and everywhere, and one piece would get separated in the scramble for company coming over, and end up in pieces in the garage or something.  NO!!  Easy to clean, easy to dry, easy to put back together or keep all together until the next time.Lessons Learned:1)  I think if we had a shedding pet--in addition to our shedding selves--I would look into the Pet version.  I found that the machine will say the dirty water tank is full with that lovely screech IF there is hair and lint starting to clog it up.  You may not even be halfway through your clean water tank before you have to empty the dirty one.  Sometimes giving the Crosswave a little jiggle to shake the hair/lint/goo free from the float in dirty tank gets you another couple minutes of cleaning.2) The Crosswave is not a quiet device.  Watch a few of the videos of someone using it to clean and you'll see you cannot hold a conversation and run this thing at the same time.  There will be a lot of screaming to make yourself heard.  The screech when the dirty water tank is full is a near-crap-inducing noise.  Every time it comes on I swear that it will start smoking, flames will burst out, and ball bearings will spray around the room; thankfully this does not happen, but I haven't let the screech go on for more than a few seconds.3)  Washing WITH the grain of your floor and going slow and steady is key.  I also start in the far corner, cleaning with the grain, and slowly back out of the area overlapping all the way, hovering over dirtier-looking spots for an extra scrub.  If you get some dribbles or the floor seems too wet, let go of the water trigger and slowly go over the wet area again to let the squeegie and vacuum suck up the excess water.  When I went across the grain of the vinyl I seemed to see the 'tire tracks' when it dried.  Going slow also keeps the streaks down by giving the Crosswave time to suck up the dirty water so you don't have streaks.4)  The sample bottle only gets you 2.5 tanks worth of cleaning.  Buy extra cleaner or have white vinegar on hand.5)  The Crosswave is much easier to clean than I would have guessed, and the best part is...  I have yet to have long hair permanently wound around the scrubbie brush!!!  I have a whole tool kit just for taking apart my vacuum beater brush, and as much as I love my Miele canister vacuum, cleaning the beater brush is not how I like to spend my free time.  So far with the Crosswave, all the hair and lint ends up in the dirty water tank.  I just pop that tank out, pull off the filter off and rinse under warm water, pull the green floater section off, wipe the underside of that with a papertowel and set in sink, slowly dump the icky water into the corner of the kitchen sink so I can swab up the hair-lint-goo with said paper towel, toss paper towel, rinse everything off in hot water.  The brush comes out easily, and brush and its cover get rinsed in the sink and set aside with other parts to dry.  I take one more paper towel and wipe around the dirty water gasket, and the areas around the brush.  It really is easy to clean!Photos:  First pass on new, never-cleaned floor and the icky water.  The brush is soft blue and stiffer red scrubbie bristles.  All the parts drying on the counter.So far I am loving my Crosswave!!",32
BluePanda,5.0 out of 5 stars,Disgustingly amazing.,the United States,24-Sep-17,CrossWave,Verified Purchase,"Disgustingly amazing. I can't say how much I enjoy using this. You don't really realize how dirty your floor is until you use this. I love not having to vacuum before ""mopping"" and I love not having to actually mop. This thing rocks. We have three levels of floor that really should be mopped frequently between two cats and traffic. This makes my life easy. No vacuum, just use the crosswave. It picks up kitty litter and even cleans cement floors in the basement. The water and things it picks up may make you want to barf, but the results are amazing. I never realized how dirty our floors get until now. A large tank goes a long way the sample cleaner included smells quite alright. The cord is just the right length of long without getting in the way. It does a great job and I haven't touched the mop since it showed up. Poor mop.",136
Kyle Randall,1.0 out of 5 stars,If I could give no stars I would,the United States,13-Mar-19,CrossWave,Verified Purchase,"I only used this product once and it doesn’t work. I mainly got the wet and dry because I have a dog (German Shepherd) and doesn’t pick up hair, doesn’t “mop” dry floors, just leaves puddles and I’m SUPER upset that I paid almost $400 for this garbage. Now I’m having to rent a carpet shampooer and borrow my mother in laws vacuum. Yay me, thanks for all the hype when it’s really POS",33
sjdearwester,1.0 out of 5 stars,Do Not Recommend.,the United States,28-Jan-18,CrossWave,Verified Purchase,Just moved cleaner around and did not clean my floor at all.  Made marks that have been hard to remove.Do Not Recommend.,63
seattlemagic,1.0 out of 5 stars,Buyer BEWARE defective machine,the United States,4-Aug-18,CrossWave,Verified Purchase,"It flickered on for 3 minutes and died. I call Bissell and they said it sounds like it’s a connection issue and I can bring it in to a repair shot...um no I just paid $250 for a wet vacuum and haven’t even used it once so I’m not going to bring it to a repair shop. Beware if you have any issue you’ll be required to bring it in. I had hoped they would offer to pay to have it shipped but no worries amazon of course will take care of the return. It’s a complete hassle tho. BEWARE may or may not work, find a more reliable machine.",35
nicoleMP,5.0 out of 5 stars,Pretty sure this machine saved my marriage...,the United States,12-Jun-17,CrossWave,Verified Purchase,"This vacuum is amazing. It makes cleaning my floors so easy and convenient. I have a toddler and an infant and dark hard wood floors... not the best combo. But my house has never been cleaner now that I have this vacuum. It is the closest thing to a good hand and knees scrub. My husband and I used to argue so much about the upkeep of our floors dirty floors make everything else look gross. It was just too hard to keep clean. But now we can do the kitchen, dining room, and living room in about 15 minutes. My husband loves using it as well and said it was the best $250 dollars spent for this ""investment."" He is the cheapest man you will ever meet so for him to say this is even more amazing than this vacuum. If you are on the fence about this purchase take the jump and do it.",42
Amazon Customer,2.0 out of 5 stars,"I wanted to bad to love this, but...",the United States,30-May-17,,Verified Purchase,"First I'd like to give a little background I have two children under the age of five & a great Dane dog that's indoors most of the time, I have 1000 square-foot home & it gets messy often. When i saw this product i got very excited thinking 'what a brilliant idea'  but sadly when I tried it I was very disappointed.I bought this product yesterday & came home & used it right away on my hardwood floors & immediately noticed the dog hair was clogging it up after only doing half of my living room I had to clean it out because I was losing suction.  That's when I noticed you can't just dump the container into the trash because it's all wet you have to dig your hand down in it & pull it out to throw it away it's completely disgusting. It also missed all the corners & edges therefore I had to get out my broom to sweep all the corners/edges into the middle of the room to use the crosswave to clean it up.After that fail I decided I would give it another shot & went into my kids room on the area rug to try an clean it, but knowing that it just pushed around the larger items in the living room test I decided to pick those items up off the rug first (large items being gold fish, paper, pop tart crust etc.)  I then used the crosswave to first vacuum the rug going over it two times as it was not picking up the dog hair the way I would've liked, then I mopped it with the crosswave. I'm sad to say I was very disappointed in both the mop & vacuum on the area rug. The rug was still visibly dirty & didn't have that fresh smell the commercial claim. I then went over the rug again with my broom I've always used & was amazed at how much the $230 crosswave left behind. (pictures below) after 4 passes with crosswave, then 1 pass with broomI have found that this product didn't do what it claims & left me very unsatisfied. I feel my broom works better on my rugs/floors & although it's not fun my hand mop is still better then the crosswave truly it can't even compare to either of them.",59
The Consumer,3.0 out of 5 stars,Not worth the price,the United States,25-Aug-20,CrossWave,Verified Purchase,I have had this vacuum for just shy (2 days) of a month.  This would be a good vacuum at $100 but not at $249  -My Annoyances- The button for mopping the floor is right where my hand is so while I'm vacuuming I'll  unintentionally hit this button and it'll start to mop the floor.  This is annoying because once the roller is wet using it to vacuum is not going to happen.- After each use I have to clean the vacuum which means emptying out the dust bucket (pretty normal) but also changing out the roller and cleaning out the roller area which is a pain.- The vacuum doesn't suck up as well as it did the first few weeks so the sides close to the wall have to be swept first.,13
